Product Name,Image URL
"Amazon Brand - Vedaka Spice combo - Cumin Seeds (Jeera), Mustard Seeds (Rai) Big, Fenugreek (Methi), 300g (100g each)",https://m.media-amazon.com/images/I/81OLXBGIyeL._AC_UL320_ML3_.jpg
"Pure & Sure Organic Powder, Bisibelebath, 100g",https://m.media-amazon.com/images/I/91chMI4eMZL._AC_UL320_ML3_.jpg
"Kitchens of India, Daily Treat, Rajma Masala, 285g",https://m.media-amazon.com/images/I/61dcQC7wKvL._AC_UL320_ML3_.jpg
"24 Mantra Organic Coriander Powder, 100g",https://m.media-amazon.com/images/I/71MD+Le-43L._AC_UL320_ML3_.jpg
"Keya Pizza Seasoning, 45g",https://m.media-amazon.com/images/I/71UxDwXja2L._AC_UL320_ML3_.jpg
"Amazon Brand - Solimo Mixed Herbs, 25g",https://m.media-amazon.com/images/I/61TERzVGU8L._AC_UL320_ML3_.jpg
"24 Mantra Organic Rasam Powder, 100g",https://m.media-amazon.com/images/I/815kyqbUBTL._AC_UL320_ML3_.jpg
"Pro Nature 100% Organic Cinnamon Bark, 50g",https://m.media-amazon.com/images/I/81YnnxPpp2L._AC_UL320_ML3_.jpg
"Catch Sprinklers Black Salt, 200g",https://m.media-amazon.com/images/I/71niNV1MhGL._AC_UL320_ML3_.jpg
"Catch Jeera Powder, Pouch, 100g",https://m.media-amazon.com/images/I/81t5vQbySeL._AC_UL320_ML3_.jpg
"Tata Sampann Turmeric Powder, 500g",https://m.media-amazon.com/images/I/71prVxLqlQL._AC_UL320_ML3_.jpg
"24 Mantra Organic Chilli Powder, 200g",https://m.media-amazon.com/images/I/912tJyvczIL._AC_UL320_ML3_.jpg
"Pro Nature 100% Organic Cumin Powder, 100g",https://m.media-amazon.com/images/I/912EDAb1EKL._AC_UL320_ML3_.jpg
"Organic Tattva Rasam Powder, 100g",https://m.media-amazon.com/images/I/91s+eomkiQL._AC_UL320_ML3_.jpg
"Tata Sampann Chilli Powder, 500g",https://m.media-amazon.com/images/I/713Ndrc9hZL._AC_UL320_ML3_.jpg
"Pro Nature 100% Organic Coriander Powder, 100g",https://m.media-amazon.com/images/I/910AWyQ1kiL._AC_UL320_ML3_.jpg
"Amazon Brand - Vedaka Red Chilli (Lal Mirch) Powder, 200g",https://m.media-amazon.com/images/I/81h8vfGRsAL._AC_UL320_ML3_.jpg
"Tata Salt, 1kg",https://m.media-amazon.com/images/I/61SacrIvdEL._AC_UL320_ML3_.jpg
"Catch Sprinklers Iodized Table Salt, 200g",https://m.media-amazon.com/images/I/71GQ06TtPML._AC_UL320_ML3_.jpg
"Everest Dry Mango Powder, 100g Carton",https://m.media-amazon.com/images/I/71C+2Ft07eL._AC_UL320_ML3_.jpg
Keya Pizza Oregano 80g,https://m.media-amazon.com/images/I/61j4KQS6-oL._AC_UL320_ML3_.jpg
"Pro Nature 100% Organic Turmeric Powder, 100g",https://m.media-amazon.com/images/I/81+DWH0R45L._AC_UL320_ML3_.jpg
"Tata Sampann Coriander Powder, 500g",https://m.media-amazon.com/images/I/71f05LBpwcL._AC_UL320_ML3_.jpg
"Amazon Brand - Vedaka Cumin (Jeera) Seed, 100g",https://m.media-amazon.com/images/I/81slYyPTUbL._AC_UL320_ML3_.jpg
"24 Mantra Organic Chilli Powder, 100g",https://m.media-amazon.com/images/I/81QPZ7-785L._AC_UL320_ML3_.jpg
Pro Nature 100% Organic Cardamom (Large) 10g,https://m.media-amazon.com/images/I/81etM2BWWoL._AC_UL320_ML3_.jpg
"Pure & Sure Organic Powder, Coriander, 100g",https://m.media-amazon.com/images/I/91XgEkmchUL._AC_UL320_ML3_.jpg
"Catch Turmeric Powder, 500g",https://m.media-amazon.com/images/I/71PC4MMJ8HL._AC_UL320_ML3_.jpg
"Kitchens of India, Daily Treat, Dal Makhani, 285g",https://m.media-amazon.com/images/I/61vmuzbdFEL._AC_UL320_ML3_.jpg
"Organic Tattva Coriander Powder, 100g",https://m.media-amazon.com/images/I/71MmfwVGWSL._AC_UL320_ML3_.jpg
"Mother Earth Coriander Seeds - Organic, 100g",https://m.media-amazon.com/images/I/61qWBHj0h2L._AC_UL320_ML3_.jpg
"Amazon Brand - Solimo Oregano, 25g",https://m.media-amazon.com/images/I/61wJFrDJ6gL._AC_UL320_ML3_.jpg
"24 Mantra Organic Cloves, 50g",https://m.media-amazon.com/images/I/91eVkfN-OvL._AC_UL320_ML3_.jpg
"24 Mantra Organic Turmeric Powder, 200g",https://m.media-amazon.com/images/I/910Hax4bU6L._AC_UL320_ML3_.jpg
Pro Nature 100% Organic Cumin (Whole) 100g,https://m.media-amazon.com/images/I/81VRb+tMNmL._AC_UL320_ML3_.jpg
"Mother Earth Jeera/Cumin Seeds - Organic, 100g",https://m.media-amazon.com/images/I/61qNt0gQhNL._AC_UL320_ML3_.jpg
"Tata Salt Lite, Low Sodium, 1kg",https://m.media-amazon.com/images/I/616UEflOFyL._AC_UL320_ML3_.jpg
"Amazon Brand - Vedaka Coriander (Dhania) Seeds, 200g",https://m.media-amazon.com/images/I/81qtq9OKvXL._AC_UL320_ML3_.jpg
"Keya Salad Seasoning, 80g",https://m.media-amazon.com/images/I/61PhQdc1H-L._AC_UL320_ML3_.jpg
"Organic Tattva Fennel, 100g",https://m.media-amazon.com/images/I/71XF47LBs-L._AC_UL320_ML3_.jpg
"Pure & Sure Organic Chilli Powder Hot, 100g",https://m.media-amazon.com/images/I/81ZagwUxogL._AC_UL320_ML3_.jpg
"Amazon Brand - Vedaka Fenugreek (Methi), 200g",https://m.media-amazon.com/images/I/81qFLkYrDqL._AC_UL320_ML3_.jpg
"Pro Nature 100% Organic Coriander Whole, 100g",https://m.media-amazon.com/images/I/81EorPTZ6aL._AC_UL320_ML3_.jpg
"Catch Compounded Hing, 100g",https://m.media-amazon.com/images/I/61s1IzWxfNL._AC_UL320_ML3_.jpg
"Kitchens of India, Daily Treat, Aloo Mutter, 285g",https://m.media-amazon.com/images/I/61lGjquZoLL._AC_UL320_ML3_.jpg
"Amazon Brand - Vedaka Mustard Seeds (Rai) Small, 200g",https://m.media-amazon.com/images/I/81MiYe3wnhL._AC_UL320_ML3_.jpg
"Keya Black Pepper Grinder, 50g",https://m.media-amazon.com/images/I/4115+6g8ETL._AC_UL320_ML3_.jpg
"Amazon Brand - Vedaka Cardamom (Elaichi), 100g",https://m.media-amazon.com/images/I/91z9jjsgx9L._AC_UL320_ML3_.jpg
